127.0.0.1, 2017-04-24 19:07:24, GET, /, HTTP/1.1, 303, 0.000573
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.972130
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000460
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000311
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000205
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001665
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002323
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000238
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000302
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000227
127.0.0.1, 2017-04-24 19:07:25, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000226
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000752
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000448
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000255
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000709
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000255
127.0.0.1, 2017-04-24 19:07:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000490
